,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
0,Wareham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,413,875.34","13,655,501.38",0.00,"13,655,501.38",0,0,0,0
1,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,509,607.27","6,034,987.73","28,677.79","6,063,665.52",0,0,0,0
2,Orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,349,743.99","5,393,004.67","49,760.83","5,442,765.50",0,0,0,0
3,Norwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,950,370.22","7,801,480.90",0.00,"7,801,480.90",0,0,0,0
4,Norton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,702,700.92","10,810,803.70",0.00,"10,810,803.70",0,0,0,0
5,Northborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,223,570.89","8,894,283.55",0.00,"8,894,283.55",0,0,0,0
6,Medway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,183,021.81","8,732,087.23",0.00,"8,732,087.23",0,0,0,0
7,Abington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,014,754.15","8,059,016.59",0.00,"8,059,016.59",0,0,0,0
8,Yarmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,167,685.76","16,670,743.06",0.00,"16,670,743.06",0,0,0,0
9,Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"297,167.77","1,188,671.09",0.00,"1,188,671.09",0,0,0,0
10,Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,986,450.35","19,941,809.71","33,264.00","19,975,073.71",0,0,0,0
11,Cohasset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"896,670.85","3,586,683.41",0.00,"3,586,683.41",0,0,0,0
12,Dedham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,723,475.48","10,893,901.92",0.00,"10,893,901.92",0,0,0,0
13,Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"817,875.43","3,271,501.73",0.00,"3,271,501.73",0,0,0,0
14,Dracut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,064,934.59","16,259,738.35",0.00,"16,259,738.35",0,0,0,0
15,Holbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,176,191.15","4,704,764.59",0.00,"4,704,764.59",0,0,0,0
16,Canton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,965,771.25","11,863,084.99",0.00,"11,863,084.99",0,0,0,0
17,Buckland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"980,636.98","3,922,547.90",0.00,"3,922,547.90",0,0,0,0
18,Bridgewater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,462,443.69","13,849,774.75",0.00,"13,849,774.75",0,0,0,0
19,Harwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,957,340.07","15,829,360.27",0.00,"15,829,360.27",0,0,0,0
20,Holliston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,681,743.68","10,726,974.72",0.00,"10,726,974.72",0,0,0,0
21,Lowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,155,080.76","28,582,126.85","318,301.63","28,900,428.48",0,0,0,0
