,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
0,Wareham,,,,,,,,,,,,,,,3413875.344,13655501.38,0,13655501.38,,,,
1,Adams,,,,,,,,,,,,,,,1509607.266,6034987.728,28677.792,6063665.52,,,,
2,Orleans,,,,,,,,,,,,,,,1349743.993,5393004.672,49760.832,5442765.504,,,,
3,Norwell,,,,,,,,,,,,,,,1950370.224,7801480.896,0,7801480.896,,,,
4,Norton,,,,,,,,,,,,,,,2702700.924,10810803.7,0,10810803.7,,,,
5,Northborough,,,,,,,,,,,,,,,2223570.888,8894283.552,0,8894283.552,,,,
6,Medway,,,,,,,,,,,,,,,2183021.808,8732087.232,0,8732087.232,,,,
7,Abington,,,,,,,,,,,,,,,2014754.148,8059016.592,0,8059016.592,,,,
8,Yarmouth,,,,,,,,,,,,,,,4167685.764,16670743.06,0,16670743.06,,,,
9,Hancock,,,,,,,,,,,,,,,297167.772,1188671.088,0,1188671.088,,,,
10,Lawrence,,,,,,,,,,,,,,,4986450.348,19941809.71,33264,19975073.71,,,,
11,Cohasset,,,,,,,,,,,,,,,896670.852,3586683.408,0,3586683.408,,,,
12,Dedham,,,,,,,,,,,,,,,2723475.48,10893901.92,0,10893901.92,,,,
13,Marion,,,,,,,,,,,,,,,817875.432,3271501.728,0,3271501.728,,,,
14,Dracut,,,,,,,,,,,,,,,4064934.588,16259738.35,0,16259738.35,,,,
15,Holbrook,,,,,,,,,,,,,,,1176191.148,4704764.592,0,4704764.592,,,,
16,Canton,,,,,,,,,,,,,,,2965771.248,11863084.99,0,11863084.99,,,,
17,Buckland,,,,,,,,,,,,,,,980636.976,3922547.904,0,3922547.904,,,,
18,Bridgewater,,,,,,,,,,,,,,,3462443.688,13849774.75,0,13849774.75,,,,
19,Harwich,,,,,,,,,,,,,,,3957340.068,15829360.27,0,15829360.27,,,,
20,Holliston,,,,,,,,,,,,,,,2681743.68,10726974.72,0,10726974.72,,,,
21,Lowell,,,,,,,,,,,,,,,7155080.761,28582126.85,318301.632,28900428.48,,,,
22,Hampden,,,,,,,,,,,,,,,1608938.892,6435755.568,0,6435755.568,,,,
23,Colrain,,,,,,,,,,,,,,,1456274.292,5825097.168,0,5825097.168,,,,
24,Chatham,,,,,,,,,,,,,,,1730049.948,6920199.792,0,6920199.792,,,,
25,Longmeadow,,,,,,,,,,,,,,,2875781.832,11503127.33,0,11503127.33,,,,
26,Danvers,,,,,,,,,,,,,,,3931089.096,15724356.38,0,15724356.38,,,,
27,Walpole,,,,,,,,,,,,,,,3868381.572,15473526.29,0,15473526.29,,,,
28,Truro,,,,,,,,,,,,,,,974172.804,3896691.216,0,3896691.216,,,,
29,Salisbury,,,,,,,,,,,,,,,1097335.8,4389343.2,0,4389343.2,,,,
30,Wellesley,,,,,,,,,,,,,,,3465501.864,13862007.46,0,13862007.46,,,,
31,Rochester,,,,,,,,,,,,,,,1835684.136,7342736.544,0,7342736.544,,,,
32,Richmond,,,,,,,,,,,,,,,974674.8,3898699.2,0,3898699.2,,,,
33,Webster,,,,,,,,,,,,,,,2632425.18,10529700.72,0,10529700.72,,,,
34,Revere,,,,,,,,,,,,,,,2982242.472,11928969.89,0,11928969.89,,,,
35,Quincy,,,,,,,,,,,,,,,6711032.592,26844130.37,0,26844130.37,,,,
36,Plymouth,,,,,,,,,,,,,,,6939146.412,27756585.65,0,27756585.65,,,,
37,Warwick,,,,,,,,,,,,,,,1252246.644,5008986.576,0,5008986.576,,,,
38,Plainville,,,,,,,,,,,,,,,1233012.264,4932049.056,0,4932049.056,,,,
