,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential, city_roads_expected_annual_cost ,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
1,ADAMS,,,,,,,,,,,,,,,4962626.098,6034987.728,28677.792,6063665.52,154074,"$35,742 ",https://www.springfield-ma.gov/finance/fileadmin/comptroller/Comprehensive_Annual_Financial_Report/Springfield_FY2017_CAFR.pdf,https://www.springfield-ma.gov/finance/fileadmin/budget/2017/Final_FY17_Adopted_6.30.16.pdf
2,ORLEANS,,,,,,,,,,,,,,,4435441.517,5393004.672,49760.832,5442765.504,,,,
3,NORWELL,,,,,,,,,,,,,,,6414117.569,7801480.896,0,7801480.896,,,,
4,NORTON,,,,,,,,,,,,,,,8888282.475,10810803.7,0,10810803.7,,,,
5,NORTHBOROUGH,,,,,,,,,,,,,,,7312583.49,8894283.552,0,8894283.552,,,,
6,MEDWAY,,,,,,,,,,,,,,,7179231.082,8732087.232,0,8732087.232,,,,
7,ABINGTON,,,,,,,,,,,,,,,6625854.835,8059016.592,0,8059016.592,,,,
8,YARMOUTH,,,,,,,,,,,,,,,13706129.3,16670743.06,0,16670743.06,,,,
9,HANCOCK,,,,,,,,,,,,,,,977285.7501,1188671.088,0,1188671.088,,,,
10,LAWRENCE,,,,,,,,,,,,,,,16396489.2,19941809.71,33264,19975073.71,,,,
11,COHASSET,,,,,,,,,,,,,,,2948851.554,3586683.408,0,3586683.408,,,,
12,DEDHAM,,,,,,,,,,,,,,,8956603.065,10893901.92,0,10893901.92,,,,
13,MARION,,,,,,,,,,,,,,,2689719.682,3271501.728,0,3271501.728,,,,
14,DRACUT,,,,,,,,,,,,,,,13368214.94,16259738.35,0,16259738.35,,,,
15,HOLBROOK,,,,,,,,,,,,,,,3868100.638,4704764.592,0,4704764.592,,,,
16,CANTON,,,,,,,,,,,,,,,9753433.084,11863084.99,0,11863084.99,,,,
17,BUCKLAND,,,,,,,,,,,,,,,3224988.148,3922547.904,0,3922547.904,,,,
18,BRIDGEWATER,,,,,,,,,,,,,,,11386823.19,13849774.75,0,13849774.75,,,,
19,HARWICH,,,,,,,,,,,,,,,13014372.42,15829360.27,0,15829360.27,,,,
20,HOLLISTON,,,,,,,,,,,,,,,8819361.085,10726974.72,0,10726974.72,,,,
21,LOWELL,,,,,,,,,,,,,,,23508821.1,28582126.85,318301.632,28900428.48,,,,
